start_latitude,start_longitude,end_latitude,end_longitude
40.76461837,-73.98789473,40.76695317,-73.98169333
40.75172632,-73.98753523,40.73331967,-73.99510132
40.736502,-73.97809472,40.71782143,-73.97628939
40.7606597,-73.98042047,40.7390169121,-74.0026376103
40.74395411,-73.99144871,40.75645824,-73.99372222
40.714215,-73.981346,40.71893904,-73.99266288
40.7423543,-73.98915076,40.75660359,-73.9979009
40.7423543,-73.98915076,40.72019576,-73.98997825
40.768254,-73.988639,40.728145,-73.990214
40.71534825,-73.96024116,40.69794,-73.96986848
40.7462009,-73.98855723,40.714215,-73.981346
40.76095756,-73.96724467,40.76020258,-73.96478473
40.7451677,-73.98683077,40.7423543,-73.98915076
40.7338121919663,-73.9805442094803,40.73314259,-73.97573881
40.71782143,-73.97628939,40.744219,-73.97121214
40.7423543,-73.98915076,40.7457121,-73.98194829
40.71117444,-73.99682619,40.75666,-73.976684
40.74206539,-74.00443172,40.74780373,-73.9734419
40.72456089,-73.99565293,40.739445,-73.976806
40.75640548,-73.9900262,40.74780373,-73.9734419
40.72621788,-73.98379855,40.7047177,-74.00926027
40.76344058,-73.98268129,40.695065,-73.987167
40.71285887,-73.96590294,40.71286844,-73.95698119
40.701907,-74.013942,40.71291224,-74.01020234
40.736502,-73.97809472,40.7405826,-74.00550867
40.739445,-73.976806,40.73038599,-74.00214988
40.751873,-73.977706,40.744219,-73.97121214
40.75513557,-73.98658032,40.72490985,-74.00154702
40.69239502,-73.99337909,40.72110063,-73.9919254
40.73827428,-73.98751968,40.73726186,-73.99238967
40.71291224,-74.01020234,40.71939226,-74.00247214
40.73704984,-73.99009296,40.71782143,-73.97628939
40.72917025,-73.99810231,40.7262807,-73.98978041
40.744023,-73.976056,40.72317958,-73.99480012
40.722103786686,-73.997249007225,40.751873,-73.977706
40.73047747,-73.99906065,40.7284186,-73.98713956
40.71754834,-74.01322069,40.751396,-74.005226
40.72405549,-74.00965965,40.72110063,-73.9919254
40.70122128,-74.01234218,40.73704984,-73.99009296
40.73331967,-73.99510132,40.7451677,-73.98683077
40.7338121919663,-73.9805442094803,40.735238,-74.000271
40.768254,-73.988639,40.75320159,-73.9779874
40.7153379,-74.01658354,40.746745,-74.007756
40.7037992,-74.00838676,40.71473993,-74.00910627
40.70905623,-74.01043382,40.7037992,-74.00838676
40.7403432,-73.98955109,40.75510267,-73.97498696
40.68753406,-73.97265183,40.710451,-73.960876
40.75934501,-73.96759673,40.7153379,-74.01658354
40.73827428,-73.98751968,40.74173969,-73.99415556
40.72453734,-73.98185424,40.73221853,-73.98165557
40.7652654,-73.98192338,40.71754834,-74.01322069
40.75019995,-73.99093085,40.7457121,-73.98194829
40.74395411,-73.99144871,40.75660359,-73.9979009
40.75206862,-73.96784384,40.68539567,-73.97431458
40.76228826,-73.98336183,40.72405549,-74.00965965
40.70905623,-74.01043382,40.711066,-74.009447
40.75255434,-73.97282625,40.756014,-73.967416
40.71625008,-74.0091059,40.72185379,-74.00771779
40.69165183,-73.9999786,40.71044554,-73.96525063
40.7262807,-73.98978041,40.75660359,-73.9979009
40.7037992,-74.00838676,40.73935542,-73.99931783
40.69839895,-73.98068914,40.7014851,-73.98656928
40.70717936,-74.00887308,40.68807003,-73.98410637
40.74025878,-73.98409214,40.76019252,-73.9912551
40.72917025,-73.99810231,40.689888,-73.981013
40.70281858,-73.98765762,40.75934501,-73.96759673
40.751581,-73.97791,40.751483,-73.996764
40.74394314,-73.97966069,40.76095756,-73.96724467
40.73704984,-73.99009296,40.74317449,-74.00366443
40.73524276,-73.98758561,40.73781509,-73.99994661
40.71413089,-73.9970468,40.72490985,-74.00154702
40.69028437,-73.98707105,40.69239502,-73.99337909
40.768254,-73.988639,40.74334935,-74.00681753
40.74195138,-74.00803013,40.74096374,-73.98602213
40.746745,-74.007756,40.76227205,-73.98788205
40.76341379,-73.99667444,40.739323,-74.008119
40.696192,-73.991218,40.722103786686,-73.997249007225
40.70569254,-74.01677685,40.71117444,-73.99682619
40.74177603,-74.00149746,40.73401143,-74.00293877
40.70355377,-74.00670227,40.70122128,-74.01234218
40.76590936,-73.97634151,40.75828065,-73.97069431
40.7454973,-74.00197139,40.75714758,-73.97207836
40.69512845,-73.99595065,40.70255088,-73.98940236
40.72490985,-74.00154702,40.74206539,-74.00443172
40.72110063,-73.9919254,40.739323,-74.008119
40.70834698,-74.01713445,40.701907,-74.013942
40.71117416,-74.00016545,40.759107,-73.959223
40.74317449,-74.00366443,40.73331967,-73.99510132
40.7457121,-73.98194829,40.75666,-73.976684
40.7652654,-73.98192338,40.75510267,-73.97498696
40.72317958,-73.99480012,40.73704984,-73.99009296
40.73704984,-73.99009296,40.73935542,-73.99931783
40.73492695,-73.99200509,40.76370739,-73.9851615
40.70281858,-73.98765762,40.6917823,-73.9737299
40.68851534,-73.9647628,40.69165183,-73.9999786
40.74334935,-74.00681753,40.746647,-73.993915
40.7014851,-73.98656928,40.699773,-73.979927
40.75510267,-73.97498696,40.69760127,-73.99344559
40.70905623,-74.01043382,40.717571,-74.005549
40.70365182,-74.01167797,40.70569254,-74.01677685
40.76020258,-73.96478473,40.751873,-73.977706
40.74854862,-73.98808416,40.746745,-74.007756
40.7403432,-73.98955109,40.73226398,-73.99852205
40.75323098,-73.97032517,40.72405549,-74.00965965
40.751396,-74.005226,40.71542197,-74.01121978
40.71273266,-74.0046073,40.70862144,-74.00722156
40.70355377,-74.00670227,40.71494807,-74.00234482
40.69991755,-73.98971773,40.74780373,-73.9734419
40.74290902,-73.97706058,40.736502,-73.97809472
40.7302066052995,-73.9910262823105,40.71602118,-73.99974372
40.72362738,-73.99949601,40.71911552,-74.00666661
40.70355377,-74.00670227,40.7462009,-73.98855723
40.71939226,-74.00247214,40.71625008,-74.0091059
40.7500727,-73.99839279,40.75660359,-73.9979009
40.7037992,-74.00838676,40.70530954,-74.00612572
40.70530954,-74.00612572,40.7423543,-73.98915076
40.722852,-73.959114,40.72740794,-73.98142006
40.696192,-73.991218,40.76344058,-73.98268129
40.75992262,-73.97648516,40.70531194,-73.97100056
40.76344058,-73.98268129,40.73454567,-73.99074142
40.7405826,-74.00550867,40.69991755,-73.98971773
40.71146364,-74.00552427,40.696192,-73.991218
40.75660359,-73.9979009,40.71911552,-74.00666661
40.74025878,-73.98409214,40.7014851,-73.98656928
40.70530954,-74.00612572,40.72456089,-73.99565293
40.73704984,-73.99009296,40.72317958,-73.99480012
40.73704984,-73.99009296,40.74487634,-73.99529885
40.76087502,-74.00277668,40.75513557,-73.98658032
40.749717753,-74.002950346,40.7431155537649,-73.9821535348892
40.76341379,-73.99667444,40.746745,-74.007756
40.71850211,-73.98329859,40.75714758,-73.97207836
40.72490985,-74.00154702,40.72066442,-73.98517977
40.7302066052995,-73.9910262823105,40.68683208,-73.9796772
40.73221853,-73.98165557,40.70255065,-74.0127234
40.693261,-73.968896,40.7014851,-73.98656928
40.74334935,-74.00681753,40.71542197,-74.01121978
40.75255434,-73.97282625,40.75001986,-73.96905301
40.744023,-73.976056,40.7575699,-73.99098507
40.771522,-73.990541,40.7575699,-73.99098507
40.7284186,-73.98713956,40.688226,-73.979382
40.7454973,-74.00197139,40.7405826,-74.00550867
40.68650065,-73.96563307,40.71044554,-73.96525063
40.70569254,-74.01677685,40.701907,-74.013942
40.71622644,-73.98261206,40.71173107,-73.99193043
40.73291553,-74.00711384,40.76087502,-74.00277668
40.70365182,-74.01167797,40.71291224,-74.01020234
40.70905623,-74.01043382,40.7175908180598,-73.9962244033814
40.707873,-74.00167,40.70255088,-73.98940236
40.70834698,-74.01713445,40.7361967,-74.00859207
40.7403432,-73.98955109,40.74334935,-74.00681753
40.76370739,-73.9851615,40.69236178,-73.98631746
40.72955361,-73.98057249,40.75527307,-73.98316936
40.736502,-73.97809472,40.744219,-73.97121214
40.70717936,-74.00887308,40.71273266,-74.0046073
40.74173969,-73.99415556,40.72456089,-73.99565293
40.750967348716,-73.994442075491,40.76590936,-73.97634151
40.70255065,-74.0127234,40.73291553,-74.00711384
40.76590936,-73.97634151,40.7606832709659,-73.9845272898674
40.76370739,-73.9851615,40.76370739,-73.9851615
40.768254,-73.988639,40.768254,-73.988639
40.76019252,-73.9912551,40.7500727,-73.99839279
40.76227205,-73.98788205,40.746745,-74.007756
40.75640548,-73.9900262,40.71754834,-74.01322069
40.76269882,-73.99301222,40.75500254,-73.98014437
40.76695317,-73.98169333,40.751873,-73.977706
40.74475148,-73.99915362,40.73704984,-73.99009296
40.73454567,-73.99074142,40.72405549,-74.00965965
40.68382604,-73.97632328,40.71625008,-74.0091059
40.711066,-74.009447,40.7262807,-73.98978041
40.694546087246,-73.9580136537552,40.722103786686,-73.997249007225
40.72743423,-73.99379025,40.71534825,-73.96024116
